filme,filme_en,categoria,rt_score,imdb_score,rt_audience,imdb_norm,diff_critica_publico,diff_abs,media_geral,rank_mais_divisivo,rank_mais_consensual,classificacao
Sinners,Sinners,Melhor Filme,97,7.5,96,75.0,22.0,22.0,86.0,5,20,Superestimado pela crítica
The Secret Agent,The Secret Agent,Melhor Filme,98,7.3,82,73.0,25.0,25.0,85.5,2,23,Superestimado pela crítica
Sentimental Value,Sentimental Value,Melhor Filme,96,7.8,97,78.0,18.0,18.0,87.0,10,16,Superestimado pela crítica
Train Dreams,Train Dreams,Melhor Filme,94,7.5,88,75.0,19.0,19.0,84.5,8,18,Superestimado pela crítica
One Battle After Another,One Battle After Another,Melhor Filme,94,7.7,88,77.0,17.0,17.0,85.5,13,13,Superestimado pela crítica
Marty Supreme,Marty Supreme,Melhor Filme,93,7.8,82,78.0,15.0,15.0,85.5,16,10,Consensual
Bugonia,Bugonia,Melhor Filme,87,7.4,78,74.0,13.0,13.0,80.5,18,7,Consensual
Hamnet,Hamnet,Melhor Filme,87,7.9,92,79.0,8.0,8.0,83.0,22,4,Consensual
Frankenstein,Frankenstein,Melhor Filme,85,7.4,95,74.0,11.0,11.0,79.5,20,6,Consensual
F1,F1: The Movie,Melhor Filme,82,7.6,97,76.0,6.0,6.0,79.0,24,2,Consensual
Chloé Zhao,Hamnet,Melhor Diretor,87,7.9,92,79.0,8.0,8.0,83.0,22,4,Consensual
Josh Safdie,Marty Supreme,Melhor Diretor,93,7.8,82,78.0,15.0,15.0,85.5,16,10,Consensual
Paul Thomas Anderson,One Battle After Another,Melhor Diretor,94,7.7,88,77.0,17.0,17.0,85.5,13,13,Superestimado pela crítica
Joachim Trier,Sentimental Value,Melhor Diretor,96,7.8,97,78.0,18.0,18.0,87.0,10,16,Superestimado pela crítica
Ryan Coogler,Sinners,Melhor Diretor,97,7.5,96,75.0,22.0,22.0,86.0,5,20,Superestimado pela crítica
Timothée Chalamet,Marty Supreme,Melhor Ator,93,7.8,82,78.0,15.0,15.0,85.5,16,10,Consensual
Leonardo DiCaprio,One Battle After Another,Melhor Ator,94,7.7,88,77.0,17.0,17.0,85.5,13,13,Superestimado pela crítica
Ethan Hawke,Blue Moon,Melhor Ator,90,6.8,80,68.0,22.0,22.0,79.0,5,20,Superestimado pela crítica
Michael B. Jordan,Sinners,Melhor Ator,97,7.5,96,75.0,22.0,22.0,86.0,5,20,Superestimado pela crítica
Wagner Moura,The Secret Agent,Melhor Ator,98,7.3,82,73.0,25.0,25.0,85.5,2,23,Superestimado pela crítica
Jessie Buckley,Hamnet,Melhor Atriz,87,7.9,92,79.0,8.0,8.0,83.0,22,4,Consensual
Rose Byrne,If I Had Legs I'd Kick You,Melhor Atriz,92,6.6,65,66.0,26.0,26.0,79.0,1,25,Superestimado pela crítica
Kate Hudson,Song Sung Blue,Melhor Atriz,77,7.3,98,73.0,4.0,4.0,75.0,25,1,Consensual
Renate Reinsve,Sentimental Value,Melhor Atriz,96,7.8,97,78.0,18.0,18.0,87.0,10,16,Superestimado pela crítica
Emma Stone,Bugonia,Melhor Atriz,87,7.4,78,74.0,13.0,13.0,80.5,18,7,Consensual
